entity_id,name,label,description,doc_id,chunk_id,all_labels,source
ENT_000001,Rosemount 3051S 无线压力变送器_Coplanar 过程法兰,Component,变送器过程连接法兰，有特定温度限值要求,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000002,Rosemount 3051S 无线压力变送器_LCD 显示屏,Component,带零件号的独立显示模块组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_3,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000003,Rosemount 3051S 无线压力变送器_RF 避雷器,Component,用于保护设备免受雷电瞬变冲击的射频保护模块,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000004,Rosemount 3051S 无线压力变送器_SuperModule,Component,变送器核心传感模块，需避免与高温过程材料直接接触,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000005,Rosemount 3051S 无线压力变送器_同轴电缆,Component,连接天线与避雷器或设备的射频信号传输线缆,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000006,Rosemount 3051S 无线压力变送器_外壳,Component,变送器主体防护外壳，支持旋转以便接线或查看显示屏,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000007,Rosemount 3051S 无线压力变送器_天线,Component,无线压力变送器用于信号发射与接收的关键通信部件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_5,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000008,Rosemount 3051S 无线压力变送器_导压管,Component,连接过程介质与变送器的压力传递管道，安装要求严格,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000009,Rosemount 3051S 无线压力变送器_法兰适配器,Component,用于连接变送器与过程法兰的转接部件，含 O 形圈密封槽,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000010,Rosemount 3051S 无线压力变送器_电源模块,Component,变送器内部封装的独立供电模块，含锂电池,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000011,Rosemount 3051S 无线压力变送器_端线板,Component,安装于外壳内部的电气连接核心板卡,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000012,Rosemount 3051S 无线压力变送器_设备描述符,Component,确保通讯正常所需的软件驱动或描述文件模块,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000013,SMP Series Hydraulic Pump_Cartridge Valve Block,Component,可更换的插装式阀块模块，通过不同型号实现多种操控功能,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_3,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000014,SMP Series Hydraulic Pump_Check valve,Component,单向阀核心模块，控制流体方向；单向阀，用于防止液压油倒流的核心阀件模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_1;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000015,SMP Series Hydraulic Pump_Control Valve,Component,控制液压油流向与通断的阀组模块；气路控制系统核心部件，用于操控气动马达运转,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_3,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000016,SMP Series Hydraulic Pump_Cooler,Component,用于系统散热的冷却器组件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000017,SMP Series Hydraulic Pump_Directional Valve,Component,三位四通换向阀，用于控制液压流向的核心阀件模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000018,SMP Series Hydraulic Pump_Filter plate,Component,过滤板组件，用于液压介质过滤；油箱吸入口用于过滤杂质的核心过滤部件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_1;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_6;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_7,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000019,SMP Series Hydraulic Pump_High Pressure Hose,Component,传输高压液压油的专用软管；连接泵站的高压输出油管，传输高压液压油,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_5,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000020,SMP Series Hydraulic Pump_Hydraulic Control Module,Component,液压泵系统中的液压控制组装模块；液压泵系统中的气动控制组装模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_9,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000021,SMP Series Hydraulic Pump_Instrument,Component,显示系统压力等参数的仪表模块；压力表等监测仪表，用于显示系统运行参数,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000022,SMP Series Hydraulic Pump_Oil Pump,Component,负责液压油输送的核心油泵组件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000023,SMP Series Hydraulic Pump_Oil Tank,Component,储存液压油的油箱容器；存放工作液压油并提供系统压力载体的贮油组件；储存液压油的油箱组件；储存液压油的贮油箱组件；液压系统中储存液压油的核心容器组件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_3;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_4;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_5;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_6;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_7,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000024,SMP Series Hydraulic Pump_Oil Tank Module,Component,液压泵系统中的油箱组装模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_9,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000025,SMP Series Hydraulic Pump_Plunger Assembly,Component,柱塞组件，包含柱塞 1 和 2，核心运动部件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_1,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000026,SMP Series Hydraulic Pump_Pneumatic Motor,Component,驱动油泵工作的气动马达模块；系统动力源组件，通过气源驱动泵站工作；驱动液压泵的气动马达组件；驱动泵站工作的气动马达组件；驱动液压泵工作的气动马达核心组件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_3;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_4;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_5;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_6;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_7,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000027,SMP Series Hydraulic Pump_Pneumatic Valve,Component,气动阀，用于气动控制液压回路的核心阀件模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000028,SMP Series Hydraulic Pump_Pressure Regulating Valve,Component,调节系统输出压力的核心阀门；高压出口设置的压力调节溢流阀；调压阀，用于调节系统工作压力的核心阀件模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2;Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_4,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000029,SMP Series Hydraulic Pump_Pump Body Module,Component,液压泵系统中的泵体组装模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_9,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000030,SMP Series Hydraulic Pump_Quick Connector,Component,用于快速连接液压管路的接头,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_2,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000031,SMP Series Hydraulic Pump_Shut-off Valve,Component,截止阀，用于切断或接通液压回路的核心阀件模块,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000032,SMP Series Hydraulic Pump_WA Connection Block,Component,液压泵系统中的 WA 型号连接块组件，用于集成安装各类控制阀件,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000033,SMP Series Hydraulic Pump_WB Connection Block,Component,液压泵系统中的 WB 型号连接块组件，用于集成安装截止阀与调压阀,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000034,SMP Series Hydraulic Pump_WC Connection Block,Component,液压泵系统中的 WC 型号连接块组件，用于集成安装气动阀与调压阀,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000035,SMP Series Hydraulic Pump_WH Connection Block,Component,液压泵系统中的 WH 型号连接块组件，用于集成安装气动阀与单向阀,Operation and Maintenance Manual for SMP Series Hydraulic Pu,Operation and Maintenance Manual for SMP Series Hydraulic Pu::chunk_10,,Operation and Maintenance Manual for SMP Series Hydraulic Pu.md
ENT_000036,智能无线网关_瞬变保护装置,Component,安装在网关接口处用于防护雷电瞬变的保护器件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000037,智能无线网关_集成 Web 界面,Component,智能无线网关内置用于监控网络状态和设备信息的网页交互模块,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_8,,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064.md
ENT_000038,船舶管路系统_ZP300 型阀门_填料,Component,阀门关键密封组件，需定期更换以防泄漏,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_10,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000039,船舶管路系统_ZP300 型阀门_填料压盖,Component,阀门阀杆密封的关键组件,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_2,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000040,船舶管路系统_ZP300 型阀门_外耐磨环,Component,阀门关键密封组件，支持有限次旋转定位以延长使用寿命,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_8,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000041,船舶管路系统_ZP300 型阀门_定位器,Component,阀门附件中的核心控制模块,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_2,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000042,船舶管路系统_ZP300 型阀门_弹性阀座,Component,阀门内部实现密封功能的关键弹性组件,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_9,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000043,船舶管路系统_ZP300 型阀门_手轮,Component,阀门手动操作的核心机械部件；安装在锥齿轮箱上用于人工输入扭矩的操作部件,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_2;manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_7,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000044,船舶管路系统_ZP300 型阀门_气动执行机构,Component,阀门内部具备独立控制功能的核心驱动模块；船舶管路系统 ZP300 型阀门的气动执行机构部件；阀门驱动用的气动核心执行模块；气动执行机构内包含气压驱动功能的核心气缸模块；与气缸连接的外部控制管路及附件模块,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_0;manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_1;manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_12,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000045,船舶管路系统_ZP300 型阀门_活塞杆,Component,阀门执行机构中驱动闸板运动的核心杆件；执行机构中传递动力的关键活塞杆部件,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_12;manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_9,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000046,船舶管路系统_ZP300 型阀门_活塞杆保护罩,Component,保护活塞杆免受外部腐蚀和损伤的覆盖件,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_9,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000047,船舶管路系统_ZP300 型阀门_液压执行机构,Component,阀门驱动用的液压缸执行核心模块,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_2,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000048,船舶管路系统_ZP300 型阀门_锥齿轮箱,Component,用于手动操作阀门的核心传动模块，包含齿轮减速机构,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946::chunk_7,,manuals-刀闸阀-zp300型-clarkson-zh-zh-cn-5197946.md
ENT_000049,阀门管路系统_三偏心阀_动态负载填料组件,Component,含贝氏弹簧的恒定载荷填料结构模块,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_7,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000050,阀门管路系统_三偏心阀_填料冲洗组件,Component,用于监测泄漏和消除无组织排放的冲洗模块,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_7,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000051,阀门管路系统_三偏心阀_填料衬套,Component,阀杆周围用于密封和支撑的核心填料模块,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_4;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_5,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000052,阀门管路系统_三偏心阀_密封环,Component,安装在阀瓣上用于确保密封性能的易损件,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_0;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_1,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000053,阀门管路系统_三偏心阀_执行机构,Component,驱动阀门动作的电气或气动液压核心模块；驱动阀门动作且选型依赖安装方向的核心驱动组件,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_0;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_1;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_3,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000054,阀门管路系统_三偏心阀_衬垫,Component,管道中与阀瓣行程存在干涉风险的密封衬垫部件,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_3,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000055,阀门管路系统_三偏心阀_轴承冲洗组件,Component,用于防止轴承区域结晶和扭矩增加的冲洗模块,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_7,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000056,阀门管路系统_三偏心阀_阀杆,Component,传递执行机构扭矩至阀瓣的关键传动部件,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_0;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_1,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
ENT_000057,阀门管路系统_三偏心阀_阀瓣,Component,实现流体截断与密封的核心运动组件；三偏心阀内部执行截断功能的关键运动组件,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_0;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_1;vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650::chunk_3,,vanessa-30-000-系列三偏心阀-tov-安装、操作及维护手册-zh-cn-5195650.md
